,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
inspiring,['adj. \xe4\xbd\xbf\xe4\xba\xba\xe6\x8c\xaf\xe5\xa5\x8b\xe7\x9a\x84\xef\xbc\x8c\xe9\xbc\x93\xe8\x88\x9e\xe7\x9a\x84']
confer,['v. \xe9\xa2\x81\xe7\xbb\x99\xef\xbc\x8c\xe8\xb5\x8b\xe4\xba\x88']
attainment,['n. \xe6\x88\x90\xe5\xb0\xb1']
magnetism,['n. \xe7\xa3\x81\xef\xbc\x8c\xe7\xa3\x81\xe5\x8a\x9b']
detest,['vt. \xe6\xb7\xb1\xe6\x81\xb6\xef\xbc\x8c\xe6\x86\x8e\xe6\x81\xb6']
lustrous,['adj. \xe6\x9c\x89\xe5\x85\x89\xe6\xb3\xbd\xe7\x9a\x84\xef\xbc\x9b\xe5\x85\x89\xe8\xbe\x89\xe7\x9a\x84']
congestion,['n. \xe6\x8b\xa5\xe6\x8c\xa4\xef\xbc\x8c\xe6\x8b\xa5\xe5\xa1\x9e']
alone,['adj./v. \xe5\x8d\x95\xe7\x8b\xac\xe7\x9a\x84\xef\xbc\x88\xe5\x9c\xb0\xef\xbc\x89']
dissipated,"['adj. \xe6\xb2\x89\xe8\xbf\xb7\xe4\xba\x8e\xe9\x85\x92\xe8\x89\xb2\xe7\x9a\x84, \xe6\xb5\xaa\xe8\x8d\xa1\xe7\x9a\x84']"
stem,['n. \xef\xbc\x88\xe6\xa4\x8d\xe7\x89\xa9\xe7\x9a\x84\xef\xbc\x89\xe8\x8c\x8e']
rubbery,['adj. \xe6\xa9\xa1\xe8\x83\xb6\xe4\xbc\xbc\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe5\xbc\xb9\xe6\x80\xa7\xe7\x9a\x84']
earthquake,['n. \xe5\x9c\xb0\xe9\x9c\x87']
sociable,['adj. \xe5\xa5\xbd\xe4\xba\xa4\xe9\x99\x85\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\x8b\xe5\x96\x84\xe7\x9a\x84']
sustained,['adj. \xe6\x8c\x81\xe7\xbb\xad\xe4\xb8\x8d\xe5\x8f\x98\xe7\x9a\x84']
twist,['n./v. \xe6\x89\xad\xe6\x9b\xb2\xef\xbc\x8c\xe6\x8b\xa7']
exemption,['n. \xe8\xa7\xa3\xe9\x99\xa4\xef\xbc\x8c\xe5\x85\x8d\xe9\x99\xa4']
gulf,['n. \xe6\xb5\xb7\xe6\xb9\xbe']
boast,['n./v. \xe8\x87\xaa\xe5\xa4\xb8\xef\xbc\x8c\xe4\xbb\xa5\xe6\x9c\x89\xe2\x80\xa6\xe8\x80\x8c\xe8\x87\xaa\xe8\xb1\xaa']
restrictive,['adj. \xe9\x99\x90\xe5\x88\xb6\xe6\x80\xa7\xe7\x9a\x84']
expressly,['adv. \xe7\x89\xb9\xe6\x84\x8f\xe5\x9c\xb0\xef\xbc\x8c\xe4\xb8\x93\xe9\x97\xa8']
endow,['vt. \xe6\x8d\x90\xe8\xb5\xa0']
eclecticism,['n. \xe6\x8a\x98\xe8\xa1\xb7\xe4\xb8\xbb\xe4\xb9\x89']
bow,['n. \xe5\xbc\x93\xef\xbc\x9b\xe5\xbc\x93\xe5\xbd\xa2']
exploitation,['n. \xe5\xbc\x80\xe5\x8f\x91\xef\xbc\x8c\xe5\xbc\x80\xe9\x87\x87']
trial,['n. \xe5\xae\x9e\xe9\xaa\x8c']
burdensome,['adj. \xe7\xb9\x81\xe9\x87\x8d\xe7\x9a\x84\xef\xbc\x8c\xe5\x8a\xb3\xe7\xb4\xaf\xe7\x9a\x84']
simultaneous,"['adj. \xe5\x90\x8c\xe6\x97\xb6\xe7\x9a\x84, \xe5\x90\x8c\xe6\x97\xb6\xe5\x8f\x91\xe7\x94\x9f\xe7\x9a\x84']"
visibility,['n. \xe5\x8f\xaf\xe8\xa7\x81\xe5\xba\xa6']
absenteeism,['n. \xe6\x97\xb7\xe8\xaf\xbe\xef\xbc\x9b\xe6\x97\xb7\xe5\xb7\xa5']
shrink,['vi. \xe6\x94\xb6\xe7\xbc\xa9\xef\xbc\x8c\xe7\xbc\xa9\xe5\xb0\x8f']
patriotic,['adj. \xe7\x88\xb1\xe5\x9b\xbd\xe7\x9a\x84']
locomotion,['n. \xe8\xbf\x90\xe5\x8a\xa8\xef\xbc\x8c\xe7\xa7\xbb\xe5\x8a\xa8']
weird,['adj. \xe6\x80\xaa\xe8\xaf\x9e\xe7\x9a\x84\xef\xbc\x8c\xe5\xa5\x87\xe5\xbc\x82\xe7\x9a\x84']
navigation,['n. \xe8\x88\xaa\xe6\xb5\xb7']
pillow,['n. \xe6\x9e\x95\xe5\xa4\xb4']
influx,['n. \xe6\xb5\x81\xe5\x85\xa5\xef\xbc\x8c\xe6\xb1\x87\xe9\x9b\x86']
orient,['vt. \xe4\xbd\xbf\xe9\x80\x82\xe5\xba\x94\xef\xbc\x9b\xe7\xa1\xae\xe5\xae\x9a\xe6\x96\xb9\xe5\x90\x91']
emerge,['vi. \xe6\x98\xbe\xe7\x8e\xb0\xef\xbc\x8c\xe6\xb5\xae\xe7\x8e\xb0']
breathtaking,['adj. \xe4\xbb\xa4\xe4\xba\xba\xe6\xbf\x80\xe5\x8a\xa8\xe7\x9a\x84\xef\xbc\x9b\xe6\x83\x8a\xe4\xba\xba\xe7\x9a\x84']
stained,['adj. \xe6\xb1\xa1\xe6\x9f\x93\xe7\x9a\x84\xef\xbc\x8c\xe7\x8e\xb7\xe6\xb1\xa1\xe7\x9a\x84']
regardless,['adj. \xe4\xb8\x8d\xe7\xae\xa1\xef\xbc\x8c\xe4\xb8\x8d\xe9\xa1\xbe\xef\xbc\x8c\xe4\xb8\x8d\xe6\xb3\xa8\xe6\x84\x8f']
architectural,['adj. \xe5\xbb\xba\xe7\xad\x91\xe4\xb8\x8a\xe7\x9a\x84\xef\xbc\x9b\xe5\xbb\xba\xe7\xad\x91\xe5\xad\xa6\xe7\x9a\x84']
melodious,['adj. \xe6\x97\x8b\xe5\xbe\x8b\xe4\xbc\x98\xe7\xbe\x8e\xe7\x9a\x84\xef\xbc\x8c\xe6\x82\xa6\xe8\x80\xb3\xe7\x9a\x84']
transcend,['vt. \xe8\xb6\x85\xe5\x87\xba\xef\xbc\x8c\xe8\xb6\x85\xe8\xb6\x8a']
colloquial,['adj. \xe5\x8f\xa3\xe8\xaf\xad\xe7\x9a\x84\xef\xbc\x8c\xe9\x80\x9a\xe4\xbf\x97\xe8\xaf\xad\xe7\x9a\x84']
regeneration,['n. \xef\xbc\x88\xe7\x81\xb5\xe9\xad\x82\xef\xbc\x89\xe9\x87\x8d\xe7\x94\x9f\xef\xbc\x8c\xe6\x96\xb0\xe7\x94\x9f']
logical,['adj. \xe5\x90\x88\xe4\xb9\x8e\xe9\x80\xbb\xe8\xbe\x91\xe7\x9a\x84\xef\xbc\x8c\xe5\x90\x88\xe7\x90\x86\xe7\x9a\x84']
plumb,['adj. \xe5\x9e\x82\xe7\x9b\xb4\xe7\x9a\x84']
morale,['n. \xe5\xa3\xab\xe6\xb0\x94']
marvelous,['adj. \xe4\xb8\x8d\xe5\x8f\xaf\xe6\x80\x9d\xe8\xae\xae\xe7\x9a\x84\xef\xbc\x9b\xe4\xba\x86\xe4\xb8\x8d\xe8\xb5\xb7\xe7\x9a\x84']
flexibility,['n. \xe7\x81\xb5\xe6\xb4\xbb\xe6\x80\xa7']
seashore,['n. \xe6\xb5\xb7\xe5\xb2\xb8\xef\xbc\x8c\xe6\xb5\xb7\xe6\xbb\xa8']
fake,['n. \xe8\xb5\x9d\xe5\x93\x81\xef\xbc\x8c\xe5\x81\x87\xe8\xb4\xa7']
touchdown,['n. \xe7\x9d\x80\xe5\x9c\xb0\xef\xbc\x8c\xe9\x99\x8d\xe8\x90\xbd']
illumination,['n. \xe7\x85\xa7\xe6\x98\x8e\xef\xbc\x9b\xe5\x90\xaf\xe5\x8f\x91']
forefront,['n. \xe6\x9c\x80\xe5\x89\x8d\xe6\xb2\xbf']
percolate,['v. \xe8\xbf\x87\xe6\xbb\xa4\xef\xbc\x8c\xe6\xb8\x97\xe9\x80\x8f   n. \xe6\xbb\xa4\xe6\xb6\xb2']
transplant,['v. \xe7\xa7\xbb\xe6\xa4\x8d']
horizontal,['adj. \xe6\xb0\xb4\xe5\xb9\xb3\xe7\x9a\x84']
terminal,['n. \xe6\x80\xbb\xe7\xab\x99\xef\xbc\x8c\xe7\xbb\x88\xe7\x82\xb9\xe7\xab\x99']
additive,['n. \xe6\xb7\xbb\xe5\x8a\xa0\xe5\x89\x82']
pollute,['vt. \xe6\xb1\xa1\xe6\x9f\x93\xef\xbc\x9b\xe7\x8e\xb7\xe6\xb1\xa1']
homesick,['adj. \xe6\x80\x9d\xe5\xae\xb6\xe7\x9a\x84\xef\xbc\x8c\xe6\x80\x9d\xe4\xb9\xa1\xe7\x97\x85\xe7\x9a\x84']
sake,['n. \xe7\xbc\x98\xe6\x95\x85\xef\xbc\x9b\xe5\x8e\x9f\xe5\x9b\xa0']
positive,['adj. \xef\xbc\x88\xe7\x94\xb5\xef\xbc\x89\xe9\x98\xb3\xe6\x9e\x81\xe7\x9a\x84']
rejuvenate,['v. (\xe4\xbd\xbf)\xe8\xbf\x94\xe8\x80\x81\xe8\xbf\x98\xe7\xab\xa5\xef\xbc\x9b(\xe4\xbd\xbf)\xe6\x81\xa2\xe5\xa4\x8d\xe6\xb4\xbb\xe5\x8a\x9b']
predictability,['n. \xe5\x8f\xaf\xe9\xa2\x84\xe8\xa8\x80']
coalesce,['vi. \xe8\x81\x94\xe5\x90\x88\xef\xbc\x8c\xe5\x90\x88\xe5\xb9\xb6']
unadorned,"['adj. \xe6\x9c\xaa\xe8\xa3\x85\xe9\xa5\xb0\xe7\x9a\x84,\xe6\x9c\xb4\xe5\xae\x9e\xe7\x9a\x84']"
prey,['n. \xe8\xa2\xab\xe6\x8e\xa0\xe9\xa3\x9f\xe8\x80\x85\xef\xbc\x8c\xe7\x89\xba\xe7\x89\xb2\xe8\x80\x85\xef\xbc\x8c\xe9\xa3\x9f\xe7\x89\xa9']
opposed,['adj. \xe5\x8f\x8d\xe5\xaf\xb9\xe7\x9a\x84']
memory,['n. \xe8\xae\xb0\xe5\xbf\x86\xef\xbc\x8c\xe8\xae\xb0\xe5\xbf\x86\xe5\x8a\x9b\xef\xbc\x9b\xe5\x9b\x9e\xe5\xbf\x86']
scope,['n. \xe8\x8c\x83\xe5\x9b\xb4\xef\xbc\x8c\xe7\x95\x8c\xe9\x99\x90']
sharpen,['vt. \xe6\xb6\x88\xe5\xb0\x96\xef\xbc\x9b\xe4\xbd\xbf\xe6\x95\x8f\xe9\x94\x90\xef\xbc\x8c\xe4\xbd\xbf\xe6\x95\x8f\xe6\x8d\xb7']
checkout,['n. \xe6\xa3\x80\xe9\xaa\x8c\xef\xbc\x8c\xe6\xa0\xa1\xe9\xaa\x8c']
theoretical,['adj. \xe7\x90\x86\xe8\xae\xba\xe4\xb8\x8a\xe7\x9a\x84']
unify,['vt. \xe7\xbb\x9f\xe4\xb8\x80\xef\xbc\x8c\xe4\xbd\xbf\xe6\x88\x90\xe4\xb8\x80\xe4\xbd\x93']
dismay,['vt. \xe4\xbd\xbf\xe6\x83\x8a\xe6\x85\x8c\xef\xbc\x9b\xe4\xbd\xbf\xe6\xb2\xae\xe4\xb8\xa7']
commissioner,['n. \xe5\xa7\x94\xe5\x91\x98\xef\xbc\x8c\xe4\xb8\x93\xe5\x91\x98']
revered,['adj. \xe5\x8f\xaf\xe6\x95\xac\xe7\x9a\x84\xef\xbc\x8c\xe5\xb0\x8a\xe6\x95\xac\xe7\x9a\x84']
conductor,['n. \xe5\xaf\xbc\xe4\xbd\x93']
afford,['vt. \xe4\xbb\x98\xe5\xbe\x97\xe8\xb5\xb7\xef\xbc\x9b\xe5\x86\x92\xe9\x99\xa9\xe5\x81\x9a']
subsistence,['n. \xe7\x94\x9f\xe5\xad\x98\xef\xbc\x9b\xe7\x94\x9f\xe8\xae\xa1\xef\xbc\x9b\xe5\xad\x98\xe6\xb4\xbb']
curriculum,['n. \xe5\xad\xa6\xe6\xa0\xa1\xe7\x9a\x84\xe5\x85\xa8\xe9\x83\xa8\xe8\xaf\xbe\xe7\xa8\x8b']
distribution,['n. \xe5\x88\x86\xe5\x8f\x91\xef\xbc\x8c\xe5\x88\x86\xe9\x85\x8d']
sanctimonious,['adj. \xe5\x81\x87\xe8\xa3\x85\xe7\xa5\x9e\xe5\x9c\xa3\xe7\x9a\x84\xef\xbc\x8c\xe4\xbc\xaa\xe8\xa3\x85\xe8\x99\x94\xe8\xaf\x9a\xe7\x9a\x84']
academician,['n. \xe5\xad\xa6\xe4\xbc\x9a\xe4\xbc\x9a\xe5\x91\x98\xef\xbc\x9b\xe9\x99\xa2\xe5\xa3\xab\xef\xbc\x9b\xe5\xad\xa6\xe8\x80\x85']
outrage,['vt. \xe5\x87\x8c\xe8\xbe\xb1\xef\xbc\x8c\xe5\xbc\x95\xe8\xb5\xb7\xe2\x80\xa6\xe4\xb9\x89\xe6\x84\xa4']
dismal,['adj. \xe6\x9a\x97\xe7\x9a\x84\xef\xbc\x8c\xe5\x87\x84\xe5\x87\x89\xe7\x9a\x84\xef\xbc\x9b\xe5\xbf\xa7\xe9\x83\x81\xe7\x9a\x84\xef\xbc\x8c\xe6\xb2\xae\xe4\xb8\xa7\xe7\x9a\x84']
degrade,['v. \xe4\xbd\xbf\xe9\x99\x8d\xe7\xba\xa7\xef\xbc\x8c\xe8\xb4\xac\xe4\xbd\x8e']
corresponding,['adj. \xe7\x9b\xb8\xe5\xba\x94\xe7\x9a\x84']
two/three dimensional,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xb8\xa4/\xe4\xb8\x89\xe7\xbb\xb4\xe7\x9a\x84']
misconception,['n. \xe8\xaf\xaf\xe8\xa7\xa3']
malfunctional,['adj. \xe5\xa4\x9a\xe5\x8a\x9f\xe8\x83\xbd\xe7\x9a\x84']
behalf,['n. \xe4\xbb\xa3\xe8\xa1\xa8\xe2\x80\xa6\xef\xbc\x8c\xe4\xbd\x9c\xe4\xb8\xba\xe2\x80\xa6\xe7\x9a\x84\xe4\xbb\xa3\xe8\xa1\xa8']
spoilage,['n. \xef\xbc\x88\xe9\xa3\x9f\xe7\x89\xa9\xe7\xad\x89\xef\xbc\x89\xe5\x8f\x98\xe8\xb4\xa8\xef\xbc\x8c\xe6\x8d\x9f\xe5\x9d\x8f']
demolish,['vt. \xe7\xa0\xb4\xe5\x9d\x8f\xef\xbc\x8c\xe6\x91\xa7\xe6\xaf\x81']
graphic,['adj. \xe7\xbb\x98\xe7\x94\xbb\xe4\xbc\xbc\xe7\x9a\x84\xef\xbc\x9b\xe5\x9b\xbe\xe8\xa7\xa3\xe7\x9a\x84\xef\xbc\x8c\xe7\x94\x9f\xe5\x8a\xa8\xe7\x9a\x84']
edible,['adj. \xe5\x8f\xaf\xe9\xa3\x9f\xe7\x94\xa8\xe7\x9a\x84']
collision,['n. \xe7\xa2\xb0\xe6\x92\x9e\xef\xbc\x9b\xe5\x86\xb2\xe7\xaa\x81\xef\xbc\x8c\xe6\x8a\xb5\xe8\xa7\xa6']
multitude,['n. \xe5\xa4\xa7\xe9\x87\x8f\xef\xbc\x8c\xe5\xa4\x9a\xe6\x95\xb0']
undertake,['v. \xe4\xbb\x8e\xe4\xba\x8b\xef\xbc\x8c\xe6\x89\xbf\xe6\x8b\x85']
melodrama,['n. \xe9\x9f\xb3\xe4\xb9\x90\xe5\x89\xa7\xef\xbc\x9b\xe6\x83\x85\xe8\x8a\x82\xe5\x89\xa7']
posthumous,['adj. \xe6\xad\xbb\xe5\x90\x8e\xe7\x9a\x84\xef\xbc\x8c\xe8\xba\xab\xe5\x90\x8e\xe7\x9a\x84']
longitude,['n. \xe7\xbb\x8f\xe5\xba\xa6\xef\xbc\x8c\xe7\xbb\x8f\xe7\xba\xbf']
strain,['n. \xe8\xbf\x87\xe5\xba\xa6\xe7\x9a\x84\xe7\x96\xb2\xe5\x8a\xb3\xef\xbc\x8c\xe7\xb4\xa7\xe5\xbc\xa0']
frivolity,['n. \xe8\xbd\xbb\xe6\xb5\xae']
harmonious,['adj. \xe5\x92\x8c\xe8\xb0\x90\xe7\x9a\x84']
congressional,['adj. \xe4\xbc\x9a\xe8\xae\xae\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\xa7\xe4\xbc\x9a\xe7\x9a\x84\xef\xbc\x9b\xe5\x9b\xbd\xe4\xbc\x9a\xe7\x9a\x84']
stature,['n. \xe8\xba\xab\xe9\xab\x98\xef\xbc\x8c\xe8\xba\xab\xe6\x9d\x90\xef\xbc\x9b\xe5\xa3\xb0\xe6\x9c\x9b\xef\xbc\x8c\xe5\x9c\xb0\xe4\xbd\x8d']
cab,['n. \xe5\x87\xba\xe7\xa7\x9f\xe9\xa9\xac\xe8\xbd\xa6\xe3\x80\x81\xe6\xb1\xbd\xe8\xbd\xa6']
fauna,['n. \xe5\x8a\xa8\xe7\x89\xa9\xe7\xbe\xa4\xef\xbc\x8c\xe5\x8a\xa8\xe7\x89\xa9\xe5\x8c\xba\xe7\xb3\xbb']
plump,['adj. \xe8\x83\x96\xe5\x98\x9f\xe5\x98\x9f\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\xb0\xe6\xbb\xa1\xe7\x9a\x84']
hatchet,['n. \xe7\x9f\xad\xe6\x9f\x84\xe6\x96\xa7']
imitation,['n. \xe6\xa8\xa1\xe4\xbb\xbf\xef\xbc\x9b\xe4\xbb\xbf\xe5\x88\xb6\xe5\x93\x81']
claim,['n. \xe8\xa6\x81\xe6\xb1\x82\xef\xbc\x8c\xe8\xa6\x81\xe6\xb1\x82\xe6\x9d\x83']
crazy,['adj. \xe7\x96\xaf\xe7\x8b\x82\xe7\x9a\x84\xef\xbc\x8c\xe7\x8b\x82\xe7\x83\xad\xe7\x9a\x84']
performer,['n. \xe8\xa1\xa8\xe6\xbc\x94\xe8\x80\x85']
predict,['vt. \xe9\xa2\x84\xe8\xa8\x80\xef\xbc\x8c\xe9\xa2\x84\xe5\x91\x8a']
attribute,['n. \xe5\xb1\x9e\xe6\x80\xa7\xef\xbc\x8c\xe5\x93\x81\xe8\xb4\xa8']
spectacularly,['adv. \xe5\xbc\x95\xe4\xba\xba\xe5\x85\xa5\xe8\x83\x9c\xe5\x9c\xb0']
avocation,['n. (\xe4\xb8\xaa\xe4\xba\xba)\xe5\x89\xaf\xe4\xb8\x9a\xef\xbc\x8c\xe4\xb8\x9a\xe4\xbd\x99\xe7\x88\xb1\xe5\xa5\xbd']
parachute,['n. \xe9\x99\x8d\xe8\x90\xbd\xe4\xbc\x9e']
drawer,['n. \xe6\x8a\xbd\xe5\xb1\x89']
stroke,['n. \xef\xbc\x88\xe7\xbb\x98\xe7\x94\xbb\xe7\xad\x89\xef\xbc\x89\xe4\xb8\x80\xe7\xac\x94\xef\xbc\x9b\xe4\xb8\x80\xe5\x87\xbb']
abort,['n. \xe4\xb8\xad\xe6\xad\xa2\xe8\xae\xa1\xe5\x88\x92\xef\xbc\x88\xe4\xbb\xbb\xe5\x8a\xa1\xef\xbc\x89']
incredible,['adj. \xe9\x9a\xbe\xe4\xbb\xa5\xe7\xbd\xae\xe4\xbf\xa1\xe7\x9a\x84\xef\xbc\x8c\xe6\x83\x8a\xe4\xba\xba\xe7\x9a\x84']
coincident,['adj. \xe4\xb8\x80\xe8\x87\xb4\xe7\x9a\x84\xef\xbc\x8c\xe7\xac\xa6\xe5\x90\x88\xe7\x9a\x84\xef\xbc\x9b\xe5\xb7\xa7\xe5\x90\x88\xe7\x9a\x84']
jumble,['vt. \xe4\xbd\xbf\xe6\xb7\xb7\xe4\xb9\xb1\xef\xbc\x8c\xe6\xb7\xb7\xe6\x9d\x82']
reed,['n. \xe8\x8a\xa6\xe8\x8b\x87']
iconographic,['adj. \xe5\x9b\xbe\xe8\xa7\xa3\xe7\x9a\x84']
provoke,['vt. \xe6\xbf\x80\xe6\x80\x92\xef\xbc\x8c\xe6\x83\xb9\xe8\xb5\xb7']
hydrogen,['n. \xe6\xb0\xa2']
occur,['vi. \xe5\x8f\x91\xe7\x94\x9f\xef\xbc\x8c\xe5\x87\xba\xe7\x8e\xb0']
magician,['n. \xe9\xad\x94\xe6\x9c\xaf\xe5\xb8\x88\xef\xbc\x8c\xe5\x8f\x98\xe6\x88\x8f\xe6\xb3\x95\xe7\x9a\x84\xe4\xba\xba']
hatchling,['n. \xe4\xba\xba\xe5\xb7\xa5\xe5\xad\xb5\xe5\x8c\x96\xe7\x9a\x84\xe9\xb1\xbc\xe8\x8b\x97\xe6\x88\x96\xe5\xb0\x8f\xe9\xb8\x9f']
parliamentary,['adj. \xe8\xae\xae\xe4\xbc\x9a\xef\xbc\x88\xe5\x88\xb6\xef\xbc\x89\xe7\x9a\x84']
hinge,['n. \xef\xbc\x88\xe9\x97\xa8\xe7\xad\x89\xef\xbc\x89\xe9\x93\xb0\xe9\x93\xbe\xef\xbc\x8c\xe6\x9e\xa2\xe7\xba\xbd']
bankrupt,['adj. \xe7\xa0\xb4\xe4\xba\xa7\xe4\xba\x86\xe7\x9a\x84']
inheritance,['n. \xe9\x81\x97\xe4\xba\xa7']
salinity,['n. \xe7\x9b\x90\xe5\x88\x86\xef\xbc\x8c\xe7\x9b\x90\xe5\xba\xa6']
crystallized,['adj. \xe5\x8f\x98\xe6\x88\x90\xe6\x99\xb6\xe4\xbd\x93\xe7\x9a\x84']
eloquent,['adj. \xe5\x96\x84\xe4\xba\x8e\xe8\xa1\xa8\xe8\xbe\xbe\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe5\x8f\xa3\xe6\x89\x8d\xe7\x9a\x84\xef\xbc\x9b\xe9\x9b\x84\xe8\xbe\xa9\xe7\x9a\x84']
shining,['adj. \xe5\x8f\x91\xe4\xba\xae\xe7\x9a\x84\xef\xbc\x8c\xe5\x8d\x8e\xe4\xb8\xbd\xe7\x9a\x84']
innumerable,['adj. \xe6\x97\xa0\xe6\x95\xb0\xe7\x9a\x84\xef\xbc\x8c\xe6\x95\xb0\xe4\xb8\x8d\xe6\xb8\x85\xe7\x9a\x84']
pine,['n. \xe6\x9d\xbe\xe6\xa0\x91']
offspring,"['n. (\xe5\x8d\x95\xe5\xa4\x8d\xe6\x95\xb0\xe5\x90\x8c\xe5\xbd\xa2)\xe5\xad\x90\xe5\xad\x99, \xe5\x90\x8e\xe4\xbb\xa3']"
strikingly,"['adv. \xe9\x86\x92\xe7\x9b\xae\xe5\x9c\xb0, \xe5\xbc\x95\xe4\xba\xba\xe4\xbe\xa7\xe7\x9b\xae\xe5\x9c\xb0']"
immune,['adj. \xef\xbc\x88\xe5\xaf\xb9\xe2\x80\xa6\xef\xbc\x89\xe5\x85\x8d\xe7\x96\xab\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\x8f\x97\xe5\xbd\xb1\xe5\x93\x8d\xe7\x9a\x84']
misleading,['adj. \xe4\xbd\xbf\xe4\xba\xba\xe8\xaf\xaf\xe8\xa7\xa3\xe7\x9a\x84\xef\xbc\x9b\xe9\xaa\x97\xe4\xba\xba\xe7\x9a\x84']
cardinal,['adj. \xe9\xa6\x96\xe8\xa6\x81\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\xbb\xe8\xa6\x81\xe7\x9a\x84']
behave,['vi. \xe4\xb8\xbe\xe6\xad\xa2\xef\xbc\x8c\xe8\xa1\xa8\xe7\x8e\xb0']
significant,['adj. \xe6\x9c\x89\xe6\x84\x8f\xe4\xb9\x89\xe7\x9a\x84\xef\xbc\x9b\xe9\x87\x8d\xe8\xa6\x81\xe7\x9a\x84\xef\xbc\x8c\xe9\x87\x8d\xe5\xa4\xa7\xe7\x9a\x84']
optimal,['adj. \xe6\x9c\x80\xe4\xbd\xb3\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x80\xe7\x90\x86\xe6\x83\xb3\xe7\x9a\x84']
irreverent,['adj. \xe4\xb8\x8d\xe5\xb0\x8a\xe6\x95\xac\xe7\x9a\x84']
axis,['n. \xe8\xbd\xb4\xef\xbc\x9b\xe8\xbd\xb4\xe5\xbf\x83']
parameter,['n. \xe5\x8f\x82\xe6\x95\xb0\xef\xbc\x8c\xe5\x8f\x82\xe9\x87\x8f']
pathway,['n. \xe8\xb7\xaf\xef\xbc\x8c\xe5\xbe\x84']
deteriorate,['v. \xe4\xbd\xbf\xe6\x81\xb6\xe5\x8c\x96\xef\xbc\x9b\xe8\xb4\xa8\xe9\x87\x8f\xe4\xb8\x8b\xe9\x99\x8d']
map,['vt. \xe7\xbb\x98\xe5\x88\xb6\xe2\x80\xa6\xe7\x9a\x84\xe5\x9c\xb0\xe5\x9b\xbe']
ductile,['adj. \xe6\x98\x93\xe5\xbb\xb6\xe5\xb1\x95\xe7\x9a\x84\xef\xbc\x9b\xe6\x9f\x94\xe8\xbd\xaf\xe7\x9a\x84']
laundry,"['n. \xe6\xb4\x97\xe8\xa1\xa3\xe5\xba\x97, \xe8\xa6\x81\xe6\xb4\x97\xe7\x9a\x84\xe8\xa1\xa3\xe6\x9c\x8d']"
explorer,['n. \xe6\x8e\xa2\xe9\x99\xa9\xe5\xae\xb6\xef\xbc\x8c\xe6\x8e\xa2\xe6\xb5\x8b\xe8\x80\x85']
staircase,['n. \xe6\xa5\xbc\xe6\xa2\xaf']
peerless,"['adj. \xe5\x87\xba\xe7\xb1\xbb\xe6\x8b\x94\xe8\x90\x83\xe7\x9a\x84, \xe6\x97\xa0\xe5\x8f\xaf\xe5\x8c\xb9\xe6\x95\x8c\xe7\x9a\x84']"
escalate,"['vi. \xe9\x80\x90\xe6\xad\xa5\xe5\x8d\x87\xe9\xab\x98, \xe9\x80\x90\xe6\xad\xa5\xe5\xa2\x9e\xe5\xbc\xba']"
neat,['adj. \xe6\x95\xb4\xe6\xb4\x81\xe7\x9a\x84\xef\xbc\x9b\xe6\x95\xb4\xe9\xbd\x90\xe7\x9a\x84']
dive,['vi. \xe6\xbd\x9c\xe6\xb0\xb4\xef\xbc\x9b\xe8\xb7\xb3\xe6\xb0\xb4']
spot,['n. \xe5\x9c\xb0\xe7\x82\xb9\xef\xbc\x8c\xe5\x9c\xba\xe6\x89\x80']
accessory,['n. \xe9\x99\x84\xe4\xbb\xb6\xef\xbc\x8c\xe9\x9b\xb6\xe4\xbb\xb6']
rehabilitate,['vt. \xe4\xbd\xbf(\xe8\xba\xab\xe4\xbd\x93)\xe5\xba\xb7\xe5\xa4\x8d\xef\xbc\x9b\xe4\xbd\xbf\xe5\xa4\x8d\xe8\x81\x8c\xef\xbc\x9b\xe4\xbd\xbf\xe5\xa4\x8d\xe5\x85\x83']
suburbanization,['n. \xe8\xbf\x91\xe9\x83\x8a\xe5\x8c\x96\xef\xbc\x8c\xe9\x83\x8a\xe5\x8c\xba\xe5\xbb\xba\xe9\x80\xa0']
produce,['v. \xe7\x94\x9f\xe4\xba\xa7     n. \xe5\x86\x9c\xe5\x89\xaf\xe4\xba\xa7\xe5\x93\x81']
maritime,['adj. \xe6\xb5\xb7\xe4\xb8\x8a\xe7\x9a\x84\xef\xbc\x8c\xe6\xb5\xb7\xe4\xba\x8b\xe7\x9a\x84']
waste disposal,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\xba\x9f\xe7\x89\xa9\xe5\xa4\x84\xe7\x90\x86']
cardiac,['adj. \xe5\xbf\x83\xe8\x84\x8f\xe7\x9a\x84']
drastic,['adj. \xe7\x8c\x9b\xe7\x83\x88\xe7\x9a\x84']
